Date,Last Price,Volume
2024-01-23 15:30:00,57.59,772055
2024-01-23 14:30:00,57.47,502028
2024-01-23 13:30:00,57.16,537112
2024-01-23 12:30:00,57.14,256559
2024-01-23 11:30:00,56.951,401294
2024-01-23 10:30:00,56.89,637848
2024-01-23 9:30:00,57.175,755049
2024-01-22 15:30:00,57.05,2944569
2024-01-22 14:30:00,57.285,648822
2024-01-22 13:30:00,57.11,542584
2024-01-22 12:30:00,56.86,465722
2024-01-22 11:30:00,57.22,457811
2024-01-22 10:30:00,57.26,960070
2024-01-22 9:30:00,57.37,1189549
2024-01-19 15:30:00,56.71,657863
2024-01-19 14:30:00,56.61,874411
2024-01-19 13:30:00,56.55,987045
2024-01-19 12:30:00,56.22,1307808
2024-01-19 11:30:00,55.64,822628
2024-01-19 10:30:00,55.48,1043957
2024-01-19 9:30:00,55.165,1323951
2024-01-18 15:30:00,54.67,728346
2024-01-18 14:30:00,54.67,900853
2024-01-18 13:30:00,54.41,912025
2024-01-18 12:30:00,53.41,555182
2024-01-18 11:30:00,53.7,1032108
2024-01-18 10:30:00,54.09,1293537
2024-01-18 9:30:00,53.915,1062073
2024-01-17 15:30:00,53.3,849439
2024-01-17 14:30:00,52.84,467043
2024-01-17 13:30:00,52.95,775608
2024-01-17 12:30:00,52.78,437489
2024-01-17 11:30:00,53.06,382580
2024-01-17 10:30:00,53.405,1077474
2024-01-17 9:30:00,53.16,1265660
2024-01-16 15:30:00,54.26,2339634
2024-01-16 14:30:00,53.94,557907
2024-01-16 13:30:00,53.78,734401
2024-01-16 12:30:00,54.27,1055652
2024-01-16 11:30:00,54.08,544287
2024-01-16 10:30:00,54.59,1666201
2024-01-16 9:30:00,54.63,1534987
2024-01-12 15:30:00,54.87,812353
2024-01-12 14:30:00,54.705,591098
2024-01-12 13:30:00,54.96,419505
2024-01-12 12:30:00,54.85,293857
2024-01-12 11:30:00,54.61,488293
2024-01-12 10:30:00,54.84,813650
2024-01-12 9:30:00,54.83,1544852
2024-01-11 15:30:00,54.79,744798
2024-01-11 14:30:00,54.62,1091440
2024-01-11 13:30:00,54.695,681610
2024-01-11 12:30:00,54.23,1546899
2024-01-11 11:30:00,53.61,1163626
2024-01-11 10:30:00,53.63,1553107
2024-01-11 9:30:00,54.31,2429190
2024-01-10 15:30:00,54.91,859886
2024-01-10 14:30:00,54.81,1019302
2024-01-10 13:30:00,54.96,677586
2024-01-10 12:30:00,54.49,519549
2024-01-10 11:30:00,54.42,318912
2024-01-10 10:30:00,54.32,516184
2024-01-10 9:30:00,54.29,959472
2024-01-09 15:30:00,54,2474784
2024-01-09 14:30:00,53.99,683967
2024-01-09 13:30:00,53.93,1294389
2024-01-09 12:30:00,54,590560
2024-01-09 11:30:00,54.14,912049
2024-01-09 10:30:00,53.84,1004590
2024-01-09 9:30:00,53.55,1106828
2024-01-08 15:30:00,54.27,1463496
2024-01-08 14:30:00,53.97,986175
2024-01-08 13:30:00,53.76,588388
2024-01-08 12:30:00,53.21,306487
2024-01-08 11:30:00,53.009,619668
2024-01-08 10:30:00,52.89,722896
2024-01-08 9:30:00,52.75,1402868
2024-01-05 15:30:00,52.1,713305
2024-01-05 14:30:00,51.76,842139
2024-01-05 13:30:00,52.179,1123679
2024-01-05 12:30:00,52.06,648788
2024-01-05 11:30:00,51.89,976373
2024-01-05 10:30:00,52.48,1077842
2024-01-05 9:30:00,52.62,1579517
2024-01-04 15:30:00,51.91,929090
2024-01-04 14:30:00,52.21,485638
2024-01-04 13:30:00,52.312,476084
2024-01-04 12:30:00,52.57,368673
2024-01-04 11:30:00,52.66,736702
2024-01-04 10:30:00,53.02,613304
2024-01-04 9:30:00,52.73,1304214
2024-01-03 15:30:00,52.43,962378
2024-01-03 14:30:00,52.61,831251
2024-01-03 13:30:00,53.21,967901
2024-01-03 12:30:00,52.99,810503
2024-01-03 11:30:00,52.72,566779
2024-01-03 10:30:00,52.768,801806
2024-01-03 9:30:00,52.7,1684512
2024-01-02 15:30:00,53.75,655122
2024-01-02 14:30:00,53.19,839230
2024-01-02 13:30:00,53.54,616075
2024-01-02 12:30:00,53.81,358387
2024-01-02 11:30:00,53.91,555118
2024-01-02 10:30:00,53.66,731500
2024-01-02 9:30:00,53.48,1967344
2023-12-29 15:30:00,54.75,1046165
2023-12-29 14:30:00,54.88,557444
2023-12-29 13:30:00,54.64,455272
2023-12-29 12:30:00,54.45,576409
2023-12-29 11:30:00,54.13,815471
2023-12-29 10:30:00,54.26,1328904
2023-12-29 9:30:00,55.22,523029
2023-12-28 15:30:00,55.22,666586
2023-12-28 14:30:00,55.3,529715
2023-12-28 13:30:00,55.46,344559
2023-12-28 12:30:00,55.345,540251
2023-12-28 11:30:00,55.305,199759
2023-12-28 10:30:00,55.29,566144
2023-12-28 9:30:00,55.412,657950
2023-12-27 15:30:00,55.23,662205
2023-12-27 14:30:00,54.925,332621
2023-12-27 13:30:00,55,950278
2023-12-27 12:30:00,55.14,764205
2023-12-27 11:30:00,55.01,510178
2023-12-27 10:30:00,54.88,767452
2023-12-27 9:30:00,54.96,896744
2023-12-26 15:30:00,54.95,516853
2023-12-26 14:30:00,55.15,379438
2023-12-26 13:30:00,54.922,231805
2023-12-26 12:30:00,54.85,201982
2023-12-26 11:30:00,54.78,201960
2023-12-26 10:30:00,54.65,301157
2023-12-26 9:30:00,54.7,558942
2023-12-22 15:30:00,54.3,1124031
2023-12-22 14:30:00,54.4,943681
2023-12-22 13:30:00,53.76,844955
2023-12-22 12:30:00,54.63,360508
2023-12-22 11:30:00,54.46,592500
2023-12-22 10:30:00,54.55,978847
2023-12-22 9:30:00,54.81,1401903
2023-12-21 15:30:00,53.98,797632
2023-12-21 14:30:00,53.77,681463
2023-12-21 13:30:00,53.3,960591
2023-12-21 12:30:00,53.12,936718
2023-12-21 11:30:00,52.94,1607632
2023-12-21 10:30:00,53.59,1097929
2023-12-21 9:30:00,53.49,2248133
2023-12-20 15:30:00,52.49,1449850
2023-12-20 14:30:00,52.93,2975671
2023-12-20 13:30:00,54.77,476650
2023-12-20 12:30:00,55.11,363579
2023-12-20 11:30:00,55.07,250832
2023-12-20 10:30:00,55.02,548766
2023-12-20 9:30:00,54.96,873698
2023-12-19 15:30:00,54.97,463254
2023-12-19 14:30:00,54.77,517638
2023-12-19 13:30:00,54.81,284091
2023-12-19 12:30:00,54.7,501414
2023-12-19 11:30:00,54.65,404139
2023-12-19 10:30:00,54.79,886674
2023-12-19 9:30:00,54.651,1178022
2023-12-18 15:30:00,54.03,804509
2023-12-18 14:30:00,54.285,530902
2023-12-18 13:30:00,54.205,404668
2023-12-18 12:30:00,54.22,498984
2023-12-18 11:30:00,54.21,507248
2023-12-18 10:30:00,54.031,571070
2023-12-18 9:30:00,53.98,1178720
2023-12-15 15:30:00,53.17,1058717
2023-12-15 14:30:00,53.18,927338
2023-12-15 13:30:00,52.87,1040397
2023-12-15 12:30:00,53.31,649550
2023-12-15 11:30:00,53.48,570293
2023-12-15 10:30:00,53.5,638705
2023-12-15 9:30:00,53.41,1024486
2023-12-14 15:30:00,53.43,714040
2023-12-14 14:30:00,53.25,862007
2023-12-14 13:30:00,53.15,1627653
2023-12-14 12:30:00,53.04,1161509
2023-12-14 11:30:00,53.86,683842
2023-12-14 10:30:00,53.41,1221066
2023-12-14 9:30:00,53.53,2613772
2023-12-13 15:30:00,52.95,1071579
2023-12-13 14:30:00,52.42,3359246
2023-12-13 13:30:00,51.97,2181742
2023-12-13 12:30:00,50.89,750740
2023-12-13 11:30:00,51,1031570
2023-12-13 10:30:00,51.12,686090
2023-12-13 9:30:00,51.11,780342
2023-12-12 15:30:00,50.88,870138
2023-12-12 14:30:00,50.88,721801
2023-12-12 13:30:00,50.61,357109
2023-12-12 12:30:00,50.49,491670
2023-12-12 11:30:00,50.47,371483
2023-12-12 10:30:00,50.36,954940
2023-12-12 9:30:00,50.21,1658188
2023-12-11 15:30:00,50.22,586252
2023-12-11 14:30:00,50.048,463162
2023-12-11 13:30:00,50.135,392617
2023-12-11 12:30:00,50.055,688366
2023-12-11 11:30:00,49.79,636326
2023-12-11 10:30:00,49.71,722224
2023-12-11 9:30:00,49.63,1992552
2023-12-08 15:30:00,49.63,1472434
2023-12-08 14:30:00,49.7,775323
2023-12-08 13:30:00,49.57,582329
2023-12-08 12:30:00,49.41,773048
2023-12-08 11:30:00,49.19,1220603
2023-12-08 10:30:00,49.168,1479879
2023-12-08 9:30:00,49.55,1605195
2023-12-07 15:30:00,48.99,520428
2023-12-07 14:30:00,49.05,418678
2023-12-07 13:30:00,49.17,402997
2023-12-07 12:30:00,48.98,386847
2023-12-07 11:30:00,49.025,559548
2023-12-07 10:30:00,48.66,698670
2023-12-07 9:30:00,48.97,1383344
2023-12-06 15:30:00,47.96,984158
2023-12-06 14:30:00,48.055,803048
2023-12-06 13:30:00,48.35,352633
2023-12-06 12:30:00,48.51,693282
2023-12-06 11:30:00,48.47,558180
2023-12-06 10:30:00,48.65,609582
2023-12-06 9:30:00,48.74,1276353
2023-12-05 15:30:00,48.59,556396
2023-12-05 14:30:00,48.558,314912
2023-12-05 13:30:00,48.54,506952
2023-12-05 12:30:00,48.51,495809
2023-12-05 11:30:00,48.49,542664
2023-12-05 10:30:00,48.48,979430
2023-12-05 9:30:00,48.52,1338507
2023-12-04 15:30:00,48.64,2335155
2023-12-04 14:30:00,48.41,421508
2023-12-04 13:30:00,48.355,328891
2023-12-04 12:30:00,48.34,541173
2023-12-04 11:30:00,48.49,1022745
2023-12-04 10:30:00,48.1,945774
2023-12-04 9:30:00,48.015,1745498
2023-12-01 15:30:00,49.41,681927
2023-12-01 14:30:00,49.405,725409
2023-12-01 13:30:00,49.315,1067617
2023-12-01 12:30:00,49.26,929256
2023-12-01 11:30:00,49.37,1629729
2023-12-01 10:30:00,48.9,1313028
2023-12-01 9:30:00,48.33,1246099
2023-11-30 15:30:00,48.625,1305584
2023-11-30 14:30:00,47.86,918253
2023-11-30 13:30:00,47.94,524389
2023-11-30 12:30:00,47.7,371774
2023-11-30 11:30:00,47.68,679811
2023-11-30 10:30:00,47.94,856821
2023-11-30 9:30:00,48.08,1409815
2023-11-29 15:30:00,48.07,576011
2023-11-29 14:30:00,48,678424
2023-11-29 13:30:00,48.46,339138
2023-11-29 12:30:00,48.595,329837
2023-11-29 11:30:00,48.57,335643
2023-11-29 10:30:00,48.23,649206
2023-11-29 9:30:00,48.655,1253615
2023-11-28 15:30:00,48.18,512756
2023-11-28 14:30:00,48.01,321778
2023-11-28 13:30:00,47.96,345948
2023-11-28 12:30:00,48.06,743924
2023-11-28 11:30:00,48.327,465412
2023-11-28 10:30:00,48.38,621177
2023-11-28 9:30:00,47.899,797315
2023-11-27 15:30:00,48.07,507405
2023-11-27 14:30:00,48.2,453432
2023-11-27 13:30:00,48.21,249024
2023-11-27 12:30:00,48.3,337199
